Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
关岛	GUM	国际旅游，入境人数	ST.INT.ARVL																																				1362000	1373000	1382000	1137000	1162000	1287000	1159000	1059000	910000	1160000	1228000	1212000	1225000	1142000	1053000	1197000	1160000	1308000	1334000	1343000	1409000	1536000	1544000		
圭亚那	GUY	国际旅游，入境人数	ST.INT.ARVL																																				106000	92000	76000	66000	75000	105000	99000	104000	101000	122000	117000	113000	134000	130000	141000	152000	157000	177000	200000	206000	207000	235000	247000		
高收入国家	HIC	国际旅游，入境人数	ST.INT.ARVL																																				378852199.7	393699339.3	414534780.5	428597798.3	444887284.8	472270623.2	463927039.6	469972810.8	461993478.2	493090108	519150963.6	547367258.2	573404465.4	572049475.5	544197420.1	574204481.8	600258112.5	626607064.2	658456984.7	699593825.2	733056374.8	768611252	814739870.9		
中国香港特别行政区	HKG	国际旅游，入境人数	ST.INT.ARVL																																							7137000	7837000	8814000	8878000	10689000	9676000	13655000	14773000	15821000	17154000	17319000	16926000	20085000	22316000	23770000	25661000	27770000	26686000	26553000	27884000		
洪都拉斯	HND	国际旅游，入境人数	ST.INT.ARVL																																				271000	263000	307000	321000	371000	471000	518000	550000	611000	641000	673000	739000	804000	869000	836000	863000	871000	895000	863000	868000	880000	838000	851000		
重债穷国 (HIPC)	HPC	国际旅游，入境人数	ST.INT.ARVL																																				4534002.279	5123409.936	5520397.644	5634704.898	5775099.916	6041764.503	6345266.519	6994752.099	7325722.833	8329667.392	9565540.225	11138076.39	12644323.86	13494532.46	13795371.83	14971233.21	16654322.68	17994590.85	18664024.13	19099495.39	20586286.33	21751255.29	23381973.91		
克罗地亚	HRV	国际旅游，入境人数	ST.INT.ARVL																																				1485000	2914000	4178000	4499000	3805000	5831000	6544000	6944000	7409000	7912000	7743000	7988000	8559000	8665000	8694000	9111000	9927000	10369000	10948000	11623000	12683000	13809000	15593000		
海地	HTI	国际旅游，入境人数	ST.INT.ARVL																																				145000	150000	149000	147000	143000	140000	142000	140000	136000	96000	112000	108000	386000	258000	387000	255000	349000	349000	420000	465200	516000	445000	467000		
匈牙利	HUN	国际旅游，入境人数	ST.INT.ARVL																																				2878000	2979000	2887000	2871000	2789000	2992000	3070000	3013000	2948000	3270000	3446000	3310000	3451000	3516000	3228000	3462000	3822000	4164000	4388000	4618000	4929000	5302000	5650000		
只有IBRD	IBD	国际旅游，入境人数	ST.INT.ARVL																																				153375316.7	168586277	178007209.6	179719587.2	185642456.8	208505304.3	215606094.8	226988162.7	225260499.6	264452007.9	284328339.7	299674987	332422075.9	345501186.6	332491709.9	358161891.6	375080782.2	405074071.7	422373901	431775375.4	443768839.4	453883579.8	495687908.4		
IBRD与IDA	IBT	国际旅游，入境人数	ST.INT.ARVL																																				166132366.7	183073285.1	193536615.7	196597227.9	203059123.9	226959418.8	234899003.2	247635631	246832783.1	289401699.1	311291591.7	332257181	369338548.2	385136488.9	373265148.6	403046708.6	420653669	453461275.1	474973714.3	486981653.3	502712873	513678477.8	561583020.6		
IDA總	IDA	国际旅游，入境人数	ST.INT.ARVL																																				11529588.63	13179732.35	14169756.06	15612177.65	16107970.31	16887624.99	17690390.57	18983546.18	20000588.21	23077047.25	24958340	30719558.53	34882562.05	37567552.28	38864748.44	42858505.47	43382357.42	45869617.63	50438672.35	53254019.01	57338593.49	58061729.25			
IDA混合	IDB	国际旅游，入境人数	ST.INT.ARVL																																				4634743.569	5122994.857	5494648.822	6284803.892	6299378.557	5954791.827	6259818.751	6201520.09	6528409.012	6845928.506	7040238.693	8770000	9722000	8981000	9493000	10053000	10241258.43	9307718.11	9267179.05	9139189.841	9505627.592	10557174.44	12147912.09		
印度尼西亚	IDN	国际旅游，入境人数	ST.INT.ARVL																																				4324000	5034000	5185000	4606000	4728000	5064000	5153000	5033000	4467000	5321000	5002000	4871000	5506000	6234000	6324000	7003000	7650000	8044000	8802000	9435000	10407000	11519000	14040000		
只有IDA	IDX	国际旅游，入境人数	ST.INT.ARVL																																				6799248.345	7966719.002	8579711.693	9197996.738	9694964.539	10881373.47	11374565.98	12759881.78	13449242.65	16254770.61	17985605.77	22020622.37	25261810.34	28812464.52	29592044.47	33076052.33	33417395.34	37080480.2	41758200.89	44868060.31	48714709.16				
马恩岛	IMN	国际旅游，入境人数	ST.INT.ARVL																																																												
印度	IND	国际旅游，入境人数	ST.INT.ARVL																																				2124000	2288000	2374000	2359000	2482000	2649000	2537000	2384000	2726000	3457000	3919000	4447000	5082000	5283000	5168000	5776000	6309000	6578000	6968000	13107000	13284000	14570000	15543000		
未分类国家	INX	国际旅游，入境人数	ST.INT.ARVL																																																												
爱尔兰	IRL	国际旅游，入境人数	ST.INT.ARVL																																				4818000	5289000	5587000	6064000	6403000	6646000	6353000	6476000	6764000	6953000	7333000	8001000	8332000	8026000	7189000	7134000	7630000	7550000	8260000	8813000	9528000	10100000	10338000		
伊朗伊斯兰共和国	IRN	国际旅游，入境人数	ST.INT.ARVL																																				568000	693000	860000	1124000	1321000	1342000	1402000	1585000	1546000	1659000	1889000	2735000	2219000	2034000	2116000	2938000	3354000	3834000	4769000	4968000	5237000	4942000	4867000		
伊拉克	IRQ	国际旅游，入境人数	ST.INT.ARVL																																				61000	51000	15000	45000	30000	78000	127000							864000	1262000	1518000	1510000	1111000	892000						
冰岛	ISL	国际旅游，入境人数	ST.INT.ARVL																																				190000	201000	202000	232000	263000	303000	301000	285000	317000	360000	374000	422000	485000	502000	494000	489000	566000	673000	807300	997600	1289000	1792000	2225000		
